Index,Name,Exchange,Blueprints,Notes,Date,Twitter Live Announcement
28,The Leader of Sleeves' Prototype,Leader Device A,,,2020-02-19,https://twitter.com/GundamBattleGW/status/1230040219778342914
29,A Sky Veiled by Crimson Wings,Crimson Wings Chip,,,2020-02-26,https://twitter.com/GundamBattleGW/status/1232596235313242114
30,Manufactured Prototype,Manufactured Coin,,,2020-03-04,https://twitter.com/GundamBattleGW/status/1235120447345143808
31,The Slugger of Neo America,Slugger Coin,,,2020-03-11,https://twitter.com/GundamBattleGW/status/1237650208835563521
32,Dance of Red and White,Dance Device A,,,2020-03-18,https://twitter.com/GundamBattleGW/status/1240186362596229121
33,Full Throttle Revolution,Full Throttle Chip,,,2020-03-25,https://twitter.com/GundamBattleGW/status/1242730689843171329
34,Weathered War Machine,Weathered Coin,TRUE,,2020-04-01,https://twitter.com/GundamBattleGW/status/1245259745167953923
35,Supreme Commander of G-ARMS,G-ARMS Coin,,,2020-04-08,https://twitter.com/GundamBattleGW/status/1247796442493669377
36,Deity of the Deep,Deep Coin,TRUE,,2020-04-15,https://twitter.com/GundamBattleGW/status/1250333426177073155
37,Fists of Iron,Iron Coin,TRUE,,2020-05-13,https://twitter.com/GundamBattleGW/status/1260495410692530177
38,The Roving Azure Fortress,Fortress Device A,,,2020-05-20,https://twitter.com/GundamBattleGW/status/1263016760740966400
39,Chaotic Assault,Chaotic Chips,,,2020-05-27,https://twitter.com/GundamBattleGW/status/1265538383817965570
40,The Duel in Texas,Texas Coin,TRUE,,2020-06-03,https://twitter.com/GundamBattleGW/status/1268075392578928640
41,Scarlet Shoulders of Terror,Scarlet Shoulder Coin,,,2020-06-10,https://twitter.com/GundamBattleGW/status/1270649550017978368
42,The Knight's True Successor,Knight Coin,,,2020-06-17,https://twitter.com/GundamBattleGW/status/1273148735866974208
43,A Gunpla Of Her Own Making,Beargguy Device,,,2020-06-24,https://twitter.com/GundamBattleGW/status/1275686158652112898
44,The Dreadnought,Dreadnought Chip,,,2020-07-01,https://twitter.com/GundamBattleGW/status/1278221945222205441
45,Zone Tyrant,Zone Coin,,,2020-07-08,https://twitter.com/GundamBattleGW/status/1280758753441320961
46,The Cardinal Gale,Cardinal Coin,TRUE,,2020-07-15,https://twitter.com/GundamBattleGW/status/1283295837792002048
47,The Man From Jupiter's Transformer,1st Anniversary Device A,,1st Anniversary Event [Part 1],2020-07-22,https://twitter.com/GundamBattleGW/status/1285870001853853696
48,The Golden Overseer,1st Anniversary Coin,TRUE,1st Anniversary Event [Part 2],2020-07-29,https://twitter.com/GundamBattleGW/status/1288369351305781248
49,Extreme Radiance,Extreme Coin,,,2020-08-05,https://twitter.com/GundamBattleGW/status/1290913258665177088
50,The Original Amazing,Meijin Coin,TRUE,,2020-08-12,https://twitter.com/GundamBattleGW/status/1293442974378909696
51,Blades to Cut Through Turmoil,Blade Device A,,,2020-08-19,https://twitter.com/GundamBattleGW/status/1295979884896849921
52,The Madly Dancing Colossus,Madly Dancing Coin,TRUE,,2020-08-26,https://twitter.com/GundamBattleGW/status/1298515698726051845
53,The Hope of Three Generations,Three Generations Coin,,,2020-09-02,https://twitter.com/GundamBattleGW/status/1301052562578178048
54,The V-Fin Transposer,Transposer Coin,TRUE,,2020-09-09,https://twitter.com/GundamBattleGW/status/1303589732434100224
55,The Ace Card That Transcended Time,Ace Card Device A,,,2020-09-16,https://twitter.com/GundamBattleGW/status/1306127087049211904
56,The Robust Giant,Robust Coin,,,2020-09-23,https://twitter.com/GundamBattleGW/status/1308735630319341568
57,The Light Shield Prototype,Light Shield Coin,,,2020-09-30,https://twitter.com/GundamBattleGW/status/1311237643544350720
58,The Foundation of High Mobility Gunpla,Foundation Coin,TRUE,,2020-10-07,https://twitter.com/GundamBattleGW/status/1313738750283800576
59,The Solid All-Rounder,All-Round Coin,,,2020-10-14,https://twitter.com/GundamBattleGW/status/1316272970734563329
60,Hell's Twin Cannons,Blast Device A,,,2020-10-21,https://twitter.com/GundamBattleGW/status/1318818519824297984
61,The One-Eyed White Wolf,White Wolf Coin,TRUE,,2020-10-28,https://twitter.com/GundamBattleGW/status/1321348015198666754
62,Dazzling Raiou,Raiou Coin,,,2020-11-04,https://twitter.com/GundamBattleGW/status/1323883066029346817
63,Karaba's Ace,Karaba's Ace,,,2020-11-11,https://twitter.com/GundamBattleGW/status/1326427504568119296
64,Goddess of Justice,Justice Device A,,,2020-11-18,https://twitter.com/GundamBattleGW/status/1328972584717676546
65,The 6th Gundam,Unit 6 Coin,TRUE,,2020-11-25,https://twitter.com/GundamBattleGW/status/1331492988971741186
66,The Deterrent Hien,Hien Coin,,,2020-12-02,https://twitter.com/GundamBattleGW/status/1334030333465903104
67,Upon This Shield,Shield Coin,,,2020-12-09,https://twitter.com/GundamBattleGW/status/1336566536597766145
68,The Strongest Spear,Spear Device A,,,2020-12-16,https://twitter.com/GundamBattleGW/status/1339134224834523137
69,Those Who Are Judged,Judgment Coin,,Part 1,2020-12-23,https://twitter.com/GundamBattleGW/status/1341639885912907776
70,Operation Lilac,Purple Coin,,Part 2,2020-12-30,https://twitter.com/GundamBattleGW/status/1344176780882501632
71,The Product of FSWS,FSWS Coin,TRUE,,2021-01-06,https://twitter.com/GundamBattleGW/status/1346713257625587713
72,Twin Guns of the Age,Twin Gun Coin,,,2021-01-13,https://twitter.com/GundamBattleGW/status/1349250064921755648
73,The Phantom Project,Project Device A,,,2021-01-20,https://twitter.com/GundamBattleGW/status/1351802875903545344
74,Masked Valkyria,Mask Coin,,,2021-01-27,https://twitter.com/GundamBattleGW/status/1354323863283265536
75,The Strongest Shield,Red Shield Coin,TRUE,,2021-02-03,https://twitter.com/GundamBattleGW/status/1356860311526023170
76,The Red Pirate Vanguard,Red Pirate Coin,,,2021-02-10,https://twitter.com/GundamBattleGW/status/1359397010684616707
77,Code: NEXT,NEXT Coin,TRUE,,2021-02-17,https://twitter.com/GundamBattleGW/status/1361967891906654210
78,The Emerald Expanse,Emerald Device A,,,2021-02-24,https://twitter.com/GundamBattleGW/status/1364471206745759745
79,Test Type: Colossal Cannon,D-arms Coin,TRUE,,2021-03-03,https://twitter.com/GundamBattleGW/status/1367007102649192448
80,The Warrior of Sakigake,Sakigake Coin,,,2021-03-10,https://twitter.com/GundamBattleGW/status/1369544119668772868
81,The Seventh Panzer Division,Division Coin,TRUE,,2021-03-17,https://twitter.com/GundamBattleGW/status/1372080366215786499
82,The Throne Of Ash,Ash Device A,,,2021-03-24,https://twitter.com/GundamBattleGW/status/1374617394539204609
83,Captain of the Black Vanguard,Vanguard Captain Coin,TRUE,,2021-03-31,https://twitter.com/GundamBattleGW/status/1377153752327614467
84,The Rose Knight,Rose Knight Coin,,,2021-04-07,https://twitter.com/GundamBattleGW/status/1379690582583308288
85,The Orange G-Type,G-Type Device A,,,2021-04-14,https://twitter.com/GundamBattleGW/status/1382242989523697665
86,The Symbol of Aristocracy,Aristocracy Coin,,,2021-04-21,https://twitter.com/GundamBattleGW/status/1384798006008967171
87,Light of Annihilation,Annihilation Coin,,Part 1,2021-04-28,https://twitter.com/GundamBattleGW/status/1387300652724879361
88,The Pressure of Montero,Pressure Coin,,Part 2,2021-05-05,https://twitter.com/GundamBattleGW/status/1389792455763976200
89,The Perfect Gundam,Perfect Coin,,,2021-05-12,https://twitter.com/GundamBattleGW/status/1392374148614086661
90,Task Force α's Colossal Cannon,α Device A,,,2021-05-19,https://twitter.com/GundamBattleGW/status/1394911082272071682
91,The Helmet Cradle,Helmet Coin,,,2021-05-26,https://twitter.com/GundamBattleGW/status/1397447626014879746
92,Spacefaring V,V-Dash Coin,TRUE,,2021-06-02,https://twitter.com/GundamBattleGW/status/1399984392743710720
93,The Crimson Cyclops,Crimson Coin,,,2021-06-09,https://twitter.com/GundamBattleGW/status/1402520960985563139
